filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
Sep2023_conjBA_BeefDiet_097_L1-109.mzML	181879757.70734	1015367.9062600001	0.5582632828738497	L1-109	MS1_pos	DP1	MED5.5	27.6	227.0	Mediterranean
Sep2023_conjBA_BeefDiet_086_L1-131.mzML	226252336.36944	968066.2019999999	0.4278701460210676	L1-131	MS1_pos	DP2	MED5.5	27.6	232.0	Mediterranean
Sep2023_conjBA_BeefDiet_090_L1-9.mzML	189515781.059723	860342.00049	0.45396852741190796	L1-9	MS1_pos	DP3	MED0.5	25.3	202.0	Mediterranean
Sep2023_conjBA_BeefDiet_092_L1-133.mzML	205861434.953858	344554.44421	0.16737202103309384	L1-133	MS1_pos	DP4	MED2.5	25.5	232.0	Mediterranean
Sep2023_conjBA_BeefDiet_096_L1-110.mzML	86533329.55562499	352179.83413000003	0.4069874994277359	L1-110	MS1_pos	DP2	MED0.5	25.7	227.0	Mediterranean
Sep2023_conjBA_BeefDiet_072_L1-144.mzML	132139469.649742	967005.46825	0.7318066818439725	L1-144	MS1_pos	DP2	MED0.5	26.0	236.0	Mediterranean
Sep2023_conjBA_BeefDiet_078_L1-68.mzML	149965235.51550502	1174981.6236	0.783502669509373	L1-68	MS1_pos	DP4	MED5.5	22.7	216.0	Mediterranean
Sep2023_conjBA_BeefDiet_083_L1-14.mzML	148762398.686606	507603.22492999997	0.34121742416869394	L1-14	MS1_pos	DP2	MED2.5	28.0	204.0	Mediterranean
Sep2023_conjBA_BeefDiet_079_L1-44.mzML	112668655.102707	311450.90904999996	0.2764308394078958	L1-44	MS1_pos	DP1	MED5.5	23.9	211.0	Mediterranean
Sep2023_conjBA_BeefDiet_087_L1-70.mzML	243470276.55571902	800885.7752	0.32894601613380703	L1-70	MS1_pos	DP1	MED0.5	26.8	217.0	Mediterranean
Sep2023_conjBA_BeefDiet_069_L1-97.mzML	156881334.196041	504345.61383000005	0.3214822314041281	L1-97	MS1_pos	DP2	MED2.5	25.4	224.0	Mediterranean
Sep2023_conjBA_BeefDiet_073_L1-127.mzML	166558219.708464	633317.43083	0.3802378723418936	L1-127	MS1_pos	DP4	MED0.5	23.5	230.0	Mediterranean
Sep2023_conjBA_BeefDiet_063_L1-82.mzML	129181528.229689	1022586.6514	0.7915889101279305	L1-82	MS1_pos	DP3	MED0.5	25.6	219.0	Mediterranean
Sep2023_conjBA_BeefDiet_055_L1-50.mzML	173970897.488055	1750600.3592	1.006260463374455	L1-50	MS1_pos	DP2	MED0.5	25.1	212.0	Mediterranean
Sep2023_conjBA_BeefDiet_053_L1-124.mzML	250500878.306933	681319.08097	0.2719827114279397	L1-124	MS1_pos	DP1	MED2.5	26.6	230.0	Mediterranean
Sep2023_conjBA_BeefDiet_051_L1-80.mzML	122196924.532896	256266.23874	0.20971578435348584	L1-80	MS1_pos	DP1	MED5.5	22.1	219.0	Mediterranean
Sep2023_conjBA_BeefDiet_066_L1-8.mzML	127012131.896269	496538.61822	0.3909379449086988	L1-8	MS1_pos	DP2	MED5.5	25.6	202.0	Mediterranean
Sep2023_conjBA_BeefDiet_061_L1-57.mzML	186807595.19747397	570774.30528	0.30554127345659343	L1-57	MS1_pos	DP3	MED0.5	24.8	214.0	Mediterranean
Sep2023_conjBA_BeefDiet_062_L1-19.mzML	130322253.857967	559183.3374	0.42907739917499543	L1-19	MS1_pos	DP1	MED2.5	27.2	206.0	Mediterranean
Sep2023_conjBA_BeefDiet_052_L1-4.mzML	210403905.385288	1112128.15365	0.5285682086620446	L1-4	MS1_pos	DP3	MED2.5	27.0	201.0	Mediterranean
Sep2023_conjBA_BeefDiet_076_L1-42.mzML	205016597.17904502	680629.7229400001	0.33198762066350795	L1-42	MS1_pos	DP4	MED5.5	27.8	210.0	Mediterranean
Sep2023_conjBA_BeefDiet_163_L1-101.mzML	142893538.06817	392828.33842000004	0.2749097990929401	L1-101	MS1_pos	DP1	MED0.5	24.4	225.0	Mediterranean
